   i    j      cc  nref
  16   17  0.8307 3078
  16   18  0.7698 3302
  16   19  0.7661 5666
  16   20  0.6114 2674
  16   21  0.5890 3677
  16   22  0.6237 2639
  16   23  0.7064 3631
  16   24  0.6510 3846
  16   25  0.6264 4760
  16   26  0.5549 3892
  16   27  0.5975 4726
  16   28  0.6589 3769
  16   29  0.6242 2309
  16   30  0.7265 2266
  16   31  0.6516 3828
  16   32  0.6322 3417
  16   33  0.7112 3855
  16   34  0.7143 3503
  16   35  0.7153 3875
  16   36  0.6448 1999
  16   37  0.6225 4302
  16   38  0.6501 2080
  16   39  0.6438 4232
  16   40  0.6727 3335
  16   41  0.6719 4658
  16   42  0.7416 4505
  16   43  0.4551 3464
  16   44  0.7464 2811
  16   45  0.5261 3532
  16   46  0.7388 2758
  16   47  0.6616 5218
  16   48  0.4294 1966
  16   49  0.6213 5289
  16   50  0.5066 1906
  16   51  0.4273 3816
  16   52  0.6109 4290
  16   53  0.6667 4289
  16   54  0.5187 3854
  16   55  0.4972 1501
  16   56  0.6565 5058
  16   57  0.4878 1548
  16   58  0.6087 5061
  16   59  0.5349 4205
  16   60  0.5741 3834
  16   61  0.5641 4205
  16   62  0.6027 3893
  16   63  0.5924 4541
  16   64  0.6519 3504
  16   65  0.6186 3465
  16   66  0.6509 4603
  17   18  0.9019 4169
  17   19  0.9740 3073
  17   20  0.7567 3289
  17   21  0.7606 1763
  17   22  0.7512 3277
  17   23  0.8412 1763
  17   24  0.7725 3636
  17   25  0.7326 3443
  17   26  0.7206 3657
  17   27  0.7117 3356
  17   28  0.7705 1805
  17   29  0.7966 1092
  17   30  0.7985 1082
  17   31  0.7686 1795
  17   32  0.8501 2101
  17   33  0.9327 2236
  17   34  0.9476 2105
  17   35  0.9010 2253
  17   36  0.8461 1237
  17   37  0.8823 3588
  17   38  0.8984 1318
  17   39  0.8170 3483
  17   40  0.8820 3289
  17   41  0.8362 3230
  17   42  0.9529 3282
  17   43  0.8429 1401
  17   44  0.8717 3529
  17   45  0.7679 1422
  17   46  0.8883 3489
  17   47  0.8979 3378
  17   48  0.7618  807
  17   49  0.8108 3389
  17   50  0.8370  769
  17   51  0.6416 1493
  17   52  0.8245 3836
  17   53  0.8897 3877
  17   54  0.8163 1536
  17   55  0.8952  736
  17   56  0.9051 3673
  17   57  0.8959  765
  17   58  0.8127 3655
  17   59  0.8617 2206
  17   60  0.8468 2153
  17   61  0.8599 2185
  17   62  0.8897 2160
  17   63  0.7702 3160
  17   64  0.8805 2683
  17   65  0.8075 2611
  17   66  0.8947 3203
  18   19  0.8873 3334
  18   20  0.6837 3291
  18   21  0.7081 1921
  18   22  0.7044 3278
  18   23  0.7275 1917
  18   24  0.7027 3820
  18   25  0.6722 3696
  18   26  0.6692 3839
  18   27  0.6446 3607
  18   28  0.7100 1953
  18   29  0.7626 1167
  18   30  0.7344 1153
  18   31  0.6862 1949
  18   32  0.6789 2239
  18   33  0.7890 2388
  18   34  0.8684 2254
  18   35  0.7569 2417
  18   36  0.6981 1291
  18   37  0.9099 3786
  18   38  0.7530 1376
  18   39  0.6278 3650
  18   40  0.8696 3429
  18   41  0.6442 3392
  18   42  0.8859 3429
  18   43  0.8420 1574
  18   44  0.8675 3550
  18   45  0.7560 1601
  18   46  0.9105 3521
  18   47  0.8977 3616
  18   48  0.7186  915
  18   49  0.7991 3623
  18   50  0.8237  863
  18   51  0.6505 1679
  18   52  0.8163 4010
  18   53  0.8804 4059
  18   54  0.7972 1724
  18   55  0.8886  792
  18   56  0.9346 3889
  18   57  0.8853  825
  18   58  0.8526 3864
  18   59  0.8993 2371
